season,episode,title,location,has_coords,found,match_method,match_score,video_title,video_url
3,2,Hunting for Mammoth,"Stanton Harcourt, Oxfordshire",True,True,title,1.0,Hunting for Mammoth | FULL EPISODE | Time Team,https://www.youtube.com/watch?v=vZuIbam4Rxg
3,3,Village of the Templars,"Templecombe, Somerset",True,True,season/episode,0.362,Secrets of the Knights Templar Unearthed at Templecombe | Time Team - S3 E3,https://www.youtube.com/watch?v=O9yOh-QbBl8
3,4,A Wreck of the Spanish Armada,"Teignmouth, Devon",True,True,season/episode,0.313,Mystery of the 16th Century Shipwreck - Time Team's Underwater Discovery | Time Team - S3 E4,https://www.youtube.com/watch?v=Dg-OWrQkpBM
3,5,Palace of the Irish Kings,Emain MachaCreeveroeHaughey's FortBallydoo,True,True,season/episode,0.283,Searching for King Connor's Lost Palaces - Ancient Ulster Unearthed | Time Team - S3 E5,https://www.youtube.com/watch?v=l_W1WowRw2E
3,6,Treasures of the Roman Field,"Lavenham, Suffolk",True,True,title,0.621,➤ Time Team's Last of The ROMANS,https://www.youtube.com/watch?v=jbbYXw0Smiw
4,1,"Episode One (Maryland, USA)","St. Mary's City, Maryland, United States",True,False,,0.478,,
4,2,Episode Two (Mystery of the Cornish Skeletons),"Launceston, Cornwall",True,False,,0.506,,
4,3,Steam-Powered Mint,"Soho, Birmingham",True,False,,0.468,,
4,4,8th Century Church,"Govan, Glasgow",True,False,,0.448,,
4,5,Norman and Medieval Castles,"Malton, North Yorkshire",True,True,season/episode,0.411,Unearthing Malton: Secrets of the Medieval Castle and Jacobean Mansion | Time Team - S4 E5,https://www.youtube.com/watch?v=kGhHtp2QpTo
4,6,Roman Villa,"Netheravon, Wiltshire",True,True,title,1.0,Unearthing Britain’s Lost Roman Villa - Secrets of Ancient Gloucestershire | Time Team - S6 E9,https://www.youtube.com/watch?v=-_LfDCpZ1rg
5,1,Episode One (Search for Richmond Palace),"Richmond, Surrey",True,True,season/episode,0.473,"Search for Richmond Palace (Full Episode) | S5 EP1 | Time Team (Richmond, Surrey)",https://www.youtube.com/watch?v=HOnJH-3IAwE
5,2,Episode Two (Somerset Levels),"Greylake, Somerset",True,True,season/episode,0.411,"Uncovering a 3,000-Year-Old Bronze Age Mystery in the Somerset Levels | Time Team - S5 E2",https://www.youtube.com/watch?v=JqYMoeL5YVM
5,3,"Episode Three (Sanday, Orkney)","Sanday, Orkney",True,True,season/episode,0.371,"Sanday, Orkney (Full Episode) | S5 EP3 | Time Team",https://www.youtube.com/watch?v=4NFiKwXTMdU
5,4,Turkdean,"Turkdean, Gloucestershire",True,True,title,1.0,Back To Turkdean: Revisiting One Of Britain's Largest Roman Sites | Time Team,https://www.youtube.com/watch?v=mInuesqb6e4
5,5,"Episode Five (Beaker Settlement, Mallorca, Spain)","Deià, Mallorca, Spain",True,True,season/episode,0.566,"Beaker Settlement (Full Episode) | S5 EP5 | Time Team (Majorca, Spain)",https://www.youtube.com/watch?v=c9IfJqfPBdw
5,6,Episode Six (Aston Eyre),"Aston Eyre, Shropshire",True,False,,0.462,,
5,7,"Episode Seven (Cathedral Hill, Downpatrick, County Down)","Downpatrick, County Down",True,True,season/episode,0.633,"Cathedral Hill (Full Episode) | S5 EP7 | Time Team (Downpatrick, County Down)",https://www.youtube.com/watch?v=8KrRsZfju2c
5,8,Episode Eight (High Worsall),"High Worsall, North Yorkshire",True,True,season/episode,0.495,"High Worsall (Full Episode) | S5 EP8 | Time Team (High Worsall, North Yorkshire)",https://www.youtube.com/watch?v=p0SVGPGxLJI
6,1,Wedgwood's First Factory,"Burslem, Stoke-on-Trent",True,True,season/episode,1.0,"Wedgwood's First Factory (Full Episode) | S6 EP1 | Time Team (Burslem, Stoke-on-Trent)",https://www.youtube.com/watch?v=zBg4_qb3Qmo
6,2,"Episode Two (Roman Building, Papcastle, Cumbria)","Papcastle, Cumbria",True,False,,0.526,,
6,3,"Episode Three (Dominican Friary, Thetford, Norfolk)","Thetford, Norfolk",True,False,,0.436,,
6,4,Cooper's Hole,"Cheddar Gorge, Somerset",True,False,,0.408,,
6,5,"Episode Five (Plympton, Devon)","Plympton, Devon",True,False,,0.477,,
6,6,"Episode Six (Medieval Dockyard, Smallhythe, Kent)","Smallhythe, Kent",True,False,,0.483,,
6,7,"Episode Seven (Roman Bath-house, Beauport Park, Sussex)","Beauport Park, East Sussex",True,True,season/episode,0.603,"The Roman Bathhouse (Full Episode) | S6 EP7 | Time Team (Beauport Park, East Sussex)",https://www.youtube.com/watch?v=NIi6iMinOug
6,8,Bombers in Reedham Marshes,"Reedham marshes, Norfolk",True,False,,0.492,,
6,9,Turkdean II,"Turkdean, Gloucestershire",True,True,season/episode,0.141,Unearthing Britain’s Lost Roman Villa - Secrets of Ancient Gloucestershire | Time Team - S6 E9,https://www.youtube.com/watch?v=-_LfDCpZ1rg
6,10,"Episode Ten (Bronze Age, Kemerton, Worcestershire)","Kemerton, Worcestershire",True,True,season/episode,0.562,"Bronze Age Cropmarks (Full Episode) | S6 EP10 | Time Team (Kemerton, Worcestershire)",https://www.youtube.com/watch?v=vhF-74dMBJU
6,11,"Episode Eleven (Norman Church, Bawsey, Norfolk)","Bawsey, Norfolk",True,True,season/episode,0.337,"Bawsey St James, Norfolk | S06E11 | Time Team",https://www.youtube.com/watch?v=aCm_P-h-sYI
6,12,Nevis (Part 1 of 2),"Nevis, West Indies",True,True,season/episode,0.39,Nevis: Part 1 (Full Episode) | S6 EP12 | Time Team (Saint Kitts and Nevis),https://www.youtube.com/watch?v=bssVE1F896Y
6,13,Nevis (Part 2 of 2),"Nevis, West Indies",True,True,season/episode,0.205,Lost Jamestown Found: Unearthing Nevis's Hidden History | Time Team - S6 E13,https://www.youtube.com/watch?v=YoBTVy78O9M
7,1,A Muslim Port in Spain,"Denia, Spain",True,True,season/episode,1.0,"A Muslim Port in Spain (Full Episode) | S7 EP1 | Time Team (Denia, Spain)",https://www.youtube.com/watch?v=kxe3zXFPXo8
7,2,The Mosaic at the Bottom of the Garden,"Cirencester, Gloucestershire",True,False,,0.55,,
