season,episode,title,video_title,location,lat,lng,video_url,match_method,match_score
6,4,Cooper's Hole,,"Cheddar Gorge, Somerset",51.282857,-2.763778,,,0.408
6,5,"Episode Five (Plympton, Devon)",,"Plympton, Devon",50.382626,-4.047981,,,0.477
6,6,"Episode Six (Medieval Dockyard, Smallhythe, Kent)",,"Smallhythe, Kent",51.038072,0.700398,,,0.483
6,7,"Episode Seven (Roman Bath-house, Beauport Park, Sussex)","The Roman Bathhouse (Full Episode) | S6 EP7 | Time Team (Beauport Park, East Sussex)","Beauport Park, East Sussex",50.90247,0.539778,https://www.youtube.com/watch?v=NIi6iMinOug,season/episode,0.603
6,8,Bombers in Reedham Marshes,,"Reedham marshes, Norfolk",52.578406,1.586435,,,0.492
6,9,Turkdean II,,"Turkdean, Gloucestershire",51.869354,-1.858265,,,0.379
6,10,"Episode Ten (Bronze Age, Kemerton, Worcestershire)","Bronze Age Cropmarks (Full Episode) | S6 EP10 | Time Team (Kemerton, Worcestershire)","Kemerton, Worcestershire",52.028665,-2.086049,https://www.youtube.com/watch?v=vhF-74dMBJU,season/episode,0.562
6,11,"Episode Eleven (Norman Church, Bawsey, Norfolk)","Bawsey St James, Norfolk | S06E11 | Time Team","Bawsey, Norfolk",52.759183,0.462398,https://www.youtube.com/watch?v=aCm_P-h-sYI,season/episode,0.337
6,12,Nevis (Part 1 of 2),Nevis: Part 1 (Full Episode) | S6 EP12 | Time Team (Saint Kitts and Nevis),"Nevis, West Indies",17.152638,-62.612752,https://www.youtube.com/watch?v=bssVE1F896Y,season/episode,0.39
6,13,Nevis (Part 2 of 2),Lost Jamestown Found: Unearthing Nevis's Hidden History | Time Team - S6 E13,"Nevis, West Indies",17.152638,-62.612752,https://www.youtube.com/watch?v=YoBTVy78O9M,season/episode,0.205
7,1,A Muslim Port in Spain,"A Muslim Port in Spain (Full Episode) | S7 EP1 | Time Team (Denia, Spain)","Denia, Spain",38.840361,0.113166,https://www.youtube.com/watch?v=kxe3zXFPXo8,season/episode,1.0
7,2,The Mosaic at the Bottom of the Garden,,"Cirencester, Gloucestershire",51.712179,-1.961577,,,0.55
7,3,One of the First Spitfires Lost in France,Lost WWII Spitfire Unearthed - Revealing the Pilot’s Final Battle | Time Team - S7 E3,"Wierre-Effroy, France",50.778998,1.741021,https://www.youtube.com/watch?v=SSiGABqEXU8,season/episode,0.317
7,4,An Iron-Age Roundhouse and a Henge,Unearthing Wadden: 4000 Years of Secrets Beneath a Dorset Village | Time Team - S7 E4,"Waddon, Dorset",50.670234,-2.545086,https://www.youtube.com/watch?v=8nJ-nr1cA2k,season/episode,0.246
7,5,Hadrian's Wall,,"Birdoswald, Cumbria",54.989232,-2.604935,,,0.375
7,6,In Search of the Earliest Traces of Mankind,"In Search of the Earliest Traces of Mankind (Full Episode) | S7 EP6 | Time Team (Elveden, Suffolk)","Elveden, Suffolk",52.392274,0.658067,https://www.youtube.com/watch?v=OQSG2t4CTPQ,season/episode,1.0
7,7,The Missing Cathedral and the Diabetic Prior,The Missing Cathedral and the Diabetic Prior (Full Episode) | S7 EP7 | Time Team (Coventry),"Coventry, West Midlands",52.409056,-1.508557,https://www.youtube.com/watch?v=38EZEilgADQ,season/episode,1.0
7,8,The Royalists' Last Stand,,"Basing House, Hampshire",51.270322,-1.052882,,,0.519
7,9,A Bronze-Age Barrow and Walkway,,"Flag Fen, Cambridgeshire",52.575829,-0.1845,,,0.438
7,10,In Search of the Palace of King Offa,In Search of the Palace of King Offa (Full Episode) | S7 EP10 | Time Team (Sutton St Nicholas),"Sutton St Nicholas, Herefordshire",52.109097,-2.702415,https://www.youtube.com/watch?v=OI6F1qZ5zKU,season/episode,1.0
7,11,A Roman Temple in Sight of the Millennium Dome,A Roman Temple in Sight of the Millennium Dome (Full Episode) | S7 EP11 | Time Team (Greenwich),"Greenwich, London",51.47856,0.004462,https://www.youtube.com/watch?v=g3XIfjA_XNc,season/episode,1.0
7,12,Nuns in Northumbria,"Nuns in Northumbria (Full Episode) | S7 EP12 | Time Team (Hartlepool, County Durham)","Hartlepool, County Durham",54.695233,-1.180206,https://www.youtube.com/watch?v=yCokMXCER_g,season/episode,1.0
7,13,York,"Norman Neighbours (Full Episode) | S12 EP11 | Time Team (Skipsea, Yorkshire)","York, Yorkshire",53.959484,-1.091878,https://www.youtube.com/watch?v=hxrMW0l8Hxw,title,1.0
8,1,An Anglo-Saxon Cemetery in Lincolnshire,,"Normanton, Lincolnshire",53.003676,-0.601684,,,0.486
8,2,The Man Who Bought a Castle,,"Alderton, Northamptonshire",52.116304,-0.919547,,,0.567
8,3,The Celtic Spring,"The Celtic Spring (Full Episode) | S8 EP3 | Time Team (Llygadwy, Powys)","Llygadwy, Powys",51.884672,-3.234257,https://www.youtube.com/watch?v=C-cwSxc5-xk,season/episode,1.0
8,4,A Waltham Villa,"A Waltham Villa (Full Episode) | S8 EP4 | Time Team (Waltham Field, Whittington)","Waltham Field, Whittington, Gloucestershire",51.886678,-1.991152,https://www.youtube.com/watch?v=flv_9l4JCuo,season/episode,1.0
8,5,The 'Lost Viaduct',"The Lost Viaduct (Full Episode) | S8 EP5 | Time Team (Blaenavon, Torfaen)","Blaenavon, Torfaen",51.779242,-3.090618,https://www.youtube.com/watch?v=yhSvLBVwdcE,season/episode,1.0
8,6,A Palace Sold for Scrap,"A Palace Sold for Scrap (Full Episode) | S8 EP6 | Time Team (Thame, Oxfordshire)","Rycote, Thame, Oxfordshire",51.737413,-1.035237,https://www.youtube.com/watch?v=9hs674DnvmM,season/episode,1.0
8,7,An Iron-Age Roundhouse,,"Salisbury Plain, Wiltshire",51.257064,-1.737308,,,0.538
8,8,The Bone Caves[3],"The Bone Caves (Full Episode) | S8 EP8 | Time Team (Alveston, Gloucestershire)","Alveston, Gloucestershire",51.582499,-2.530707,https://www.youtube.com/watch?v=XFdQOoe9ZEc,season/episode,0.353
8,9,The Inter-City Villa[3],,"Basildon, Berkshire",51.509468,-1.126886,,,0.549
8,10,Holy Island,"Holy Island (Full Episode) | S8 EP10 | Time Team (Lindisfarne, Northumberland)","Lindisfarne, Northumberland",55.670528,-1.798928,https://www.youtube.com/watch?v=VK-2j_eGE3I,season/episode,1.0
8,11,The Leaning Tower of Bridgnorth,The Leaning Tower of Bridgnorth (Full Episode) | S8 EP11 | Time Team (Shropshire),"Bridgnorth, Shropshire",52.532008,-2.41966,https://www.youtube.com/watch?v=Q_HhqW9uyjI,season/episode,1.0
8,12,Three Tales of Canterbury,,"Canterbury, Kent",51.278405,1.077766,,,0.491
8,13,The Leper Hospital,,"Winchester, Hampshire",51.063401,-1.280206,,,0.481
9,1,London's First Bridge,"London's First Bridge (Full Episode) | S9 EP1 | Time Team (Vauxhall, London)","Vauxhall, London",51.485502,-0.127807,https://www.youtube.com/watch?v=OhtdiyqvytI,season/episode,1.0
9,2,The Roman's Panic,,"Ancaster, Lincolnshire",52.980295,-0.533225,,,0.524
9,3,Diving for the Armada,"Diving for the Armada (Full Episode) | S9 EP3 | Time Team (Kinlochbervie, Sutherland)","Kinlochbervie, Sutherland",58.433263,-5.112194,https://www.youtube.com/watch?v=sf8Qdy2gWxg,season/episode,1.0
9,4,The Naughty Monastery,,"Chicksands, Bedfordshire",52.040364,-0.366011,,,0.456
9,5,The Furnace in the Cellar,The Furnace in the Cellar (Full Episode) | S9 EP5 | Time Team (Ironbridge Gorge),"Ironbridge Gorge, Shropshire",52.646124,-2.577345,https://www.youtube.com/watch?v=27ZbSlRjgWw,season/episode,1.0
9,6,An Ermine Street Pub,,"Cheshunt, Hertfordshire",51.720624,-0.054145,,,0.441
9,7,Iron-Age Market,"Iron-Age Market (Full Episode) | S9 EP7 | Time Team (Helford, Cornwall)","Helford, Cornwall",50.077478,-5.179886,https://www.youtube.com/watch?v=GoH0q0EBDQQ,season/episode,1.0
9,8,Siege House in Shropshire,,"High Ercall, Shropshire",52.752459,-2.602659,,,0.459
9,9,A Prehistoric Airfield,,"Throckmorton, Worcestershire",52.140294,-2.042171,,,0.483
9,10,A Lost Roman City,,"Castleford, Yorkshire",53.724441,-1.355467,,,0.491
9,11,Every Castle Needs a Lord,,"Beaudesert, Warwickshire",52.293401,-1.772098,,,0.509
9,12,Steptoe Et Filius,,"Yaverland, Isle of Wight",50.671732,-1.132267,,,0.435
9,13,Seven Buckets and a Buckle,"Seven Buckets and a Buckle (Full Episode) | S9 EP13 | Time Team (Breamore, Hampshire)","Breamore, Hampshire",50.954994,-1.772017,https://www.youtube.com/watch?v=Qi1ijJGJ9L8,season/episode,1.0
10,1,Garden Secrets,,"Raunds, Northamptonshire",52.34462,-0.539447,,,0.4
10,2,"Mosaics, Mosaics, Mosaics",,"Dinnington, Somerset",50.917925,-2.849794,,,0.417
10,3,Peak District Practices,"Peak District Practices (Full Episode) | S10 EP3 | Time Team (Carsington, Derbyshire)","Carsington, Derbyshire",53.080321,-1.64026,https://www.youtube.com/watch?v=-ATi5An380E,season/episode,1.0
10,4,The Giant's Grave,,"Fetlar, Shetland",60.594185,-0.867257,,,0.455
10,5,Joust Dig It,"Joust Dig It (Full Episode) | S10 EP5 | Time Team (Greenwich, London)","Greenwich, London",51.48223,-0.004201,https://www.youtube.com/watch?v=ewy921VSzD8,season/episode,1.0
10,6,Digging Liberty,,"Merton, London",51.413519,-0.183752,,,0.458
10,7,Death in a Crescent,,"Bath, Somerset",51.387727,-2.366371,,,0.441
10,8,Back to Our Roots[n 1],,"Athelney, Somerset",51.058863,-2.934671,,,0.414
10,9,Looking for the White House,Looking for the White House (Full Episode) | S10 EP9 | Time Team (Kew Gardens),"Kew Gardens, London",51.483024,-0.294354,https://www.youtube.com/watch?v=ayykqgn0nMU,season/episode,1.0
10,10,Rescuing the Dead,"Rescuing the Dead (Full Episode) | S10 EP10 | Time Team (Leven, Fife)","Leven, Fife",56.207395,-3.003143,https://www.youtube.com/watch?v=CbbPTfUE6rY,season/episode,1.0
10,11,Not a Blot on the Landscape,,"Castle Howard, North Yorkshire",54.120905,-0.908317,,,0.561
10,12,A View to a Kiln,"A View to a Kiln (Full Episode) | S10 EP12 | Full Episode | Time Team (Sedgefield, County Durham)","Sedgefield, County Durham",54.655019,-1.459104,https://www.youtube.com/watch?v=g6mnleThc_M,season/episode,1.0
10,13,Jailhouse Rocks,,"Appleby-in-Westmorland, Cumbria",54.578305,-2.488259,,,0.409
11,1,In Search of the Brigittine Abbey,,"Syon House, London",51.47634,-0.311899,,,0.564
11,2,A Roman Bath House and Edwardian Folly,,"Whitestaunton Manor, Somerset",50.889703,-3.024814,,,0.475
11,3,The Crannog in the Loch,,"Loch Migdale, Scottish Highlands",57.892503,-4.319505,,,0.526
11,4,Saxon Burials on the Ridge,,"South Carlton, Lincolnshire",53.28181,-0.566168,,,0.58
11,5,The Roman Fort That Wasn't There,The Roman Fort That Wasn't There | FULL EPISODE | Time Team,"Syndale, Kent",51.313727,0.860548,https://www.youtube.com/watch?v=lFc7SpPINDU,title,1.0
11,6,An Iron-Age Trading Centre,"An Iron-Age Trading Centre, Green Island | FULL EPISODE | Time Team","Green Island, Dorset",50.67893,-1.990799,https://www.youtube.com/watch?v=vE_SFeRftCc,title,1.0
11,7,A Medieval Blast Furnace,A Medieval Blast Furnace | FULL EPISODE | Time Team,"The Old Furnace, Oakamoor, Staffordshire",52.98913,-1.939713,https://www.youtube.com/watch?v=4dI8r4JPM-s,title,1.0
11,8,Rescuing a Mesolithic Foreshore,,"Goldcliff, Newport",51.532536,-2.90395,,,0.438
11,9,"Fertile Soils, Rich Archaeology",,"Wittenham Clumps, Oxfordshire",51.627914,-1.180515,,,0.447
11,10,King Cnut's Manor,King Cnut's Manor | FULL EPISODE | Time Team,"Nassington, Northamptonshire",52.552655,-0.433747,https://www.youtube.com/watch?v=0fYODmj8B3w,title,1.0
11,11,Back-Garden Archaeology Revisiting a Roman villa,,"Ipswich, Suffolk",52.076522,1.132127,,,0.508
11,12,The Lost City of Roxburgh,"The Lost City of Roxburgh, Scottish Borders | FULL EPISODE | Time Team","Roxburgh, Scottish Borders",55.597499,-2.448431,https://www.youtube.com/watch?v=6bG2UUgWoRI,title,1.0
11,13,Brimming with Remains,,"Cranborne Chase, Dorset",50.928594,-2.039061,,,0.484
12,1,The Manor That's Back to Front,The Manor That's Back to Front (Full Episode) | S12 EP1 | Time Team (Chenies Manor),"Chenies Manor House, Buckinghamshire",51.674775,-0.533114,https://www.youtube.com/watch?v=kdaW5YgoTv8,season/episode,1.0
12,2,The Monastery and the Mansion,"The Monastery and the Mansion (Full Episode) | S12 EP2 | Time Team (Nether Poppleton, Yorkshire)","Nether Poppleton, North Yorkshire",53.988279,-1.148894,https://www.youtube.com/watch?v=JfMD0kOkZto,season/episode,1.0
12,3,The Bombers in the Marsh,"The Bombers in the Marsh (Full Episode) | S12 EP3 | Time Team (Warton, Lancashire)","Warton, Lancashire",53.735285,-2.935246,https://www.youtube.com/watch?v=wx6n3hJJxBM,season/episode,1.0
12,4,Fighting on the Frontier,"Fighting On The Frontier (Full Episode) | S12 EP4 | Time Team (Drumlanrig, Dumfries)","Drumlanrig, Dumfries and Galloway",55.271321,-3.80762,https://www.youtube.com/watch?v=0zZHAitHQWQ,season/episode,1.0
12,5,A Neolithic Cathedral?,"A Neolithic Cathedral? (Full Episode) | S12 EP5 | Time Team (Northborough, Peterborough)","Northborough, Cambridgeshire",52.662008,-0.29183,https://www.youtube.com/watch?v=PTDlKhS9I3c,season/episode,1.0
12,6,"In Search of Henry V's Flagship, Grace Dieu","In Search Of Henry V’s Flagship (Full Episode) | S12 EP6 | Time Team (Grace Dieu, Hampshire)","Bursledon, Hampshire",50.891844,-1.288816,https://www.youtube.com/watch?v=XHZGN5L2zRA,season/episode,0.672
12,7,Going Upmarket with the Romans,"Going Upmarket With The Romans (Full Episode) | S12 EP7 | Time Team (Standish, Gloucestershire)","Standish, Gloucestershire",51.778168,-2.29093,https://www.youtube.com/watch?v=TpVKVwgBsAE,season/episode,1.0
